Model:    gemma3:4b
  [310/1500] B10 → 1  EV=1.72
  [311/1500] B11 → 7  EV=6.99
  [312/1500] B12 → 4  EV=3.50
  [313/1500] B13 → 7  EV=3.91
  [314/1500] B14 → 1  EV=2.71
  [315/1500] B15 → 1  EV=3.38
  [316/1500] B16 → 1  EV=3.06
  [317/1500] B17 → 1  EV=2.60
  [318/1500] B18 → 1  EV=2.67
  [319/1500] B19 → 1  EV=1.54
  [320/1500] B20 → 7  EV=4.22
  [321/1500] B21 → 1  EV=1.60
  [322/1500] B22 → 1  EV=3.06
  [323/1500] B23 → 1  EV=1.01
  [324/1500] B24 → 1  EV=1.16
  [325/1500] B25 → 1  EV=2.08
  [326/1500] B26 → 7  EV=4.85
  [327/1500] B27 → 1  EV=1.76
  [328/1500] B28 → 1  EV=1.14
  [329/1500] B29 → 1  EV=1.62
  [330/1500] B30 → 1  EV=1.59
  [331/1500] B01 → 1  EV=2.90
  [332/1500] B02 → 7  EV=6.94
  [333/1500] B03 → 7  EV=4.99
  [334/1500] B04 → 7  EV=6.01
  [335/1500] B05 → 7  EV=6.99
  [336/1500] B06 → 7  EV=6.58
  [337/1500] B07 → 1  EV=3.40
  [338/1500] B08 → 1  EV=1.01
  [339/1500] B09 → 7  EV=4.59
  [340/1500] B10 → 1  EV=1.52
  [341/1500] B11 → 7  EV=6.89
  [342/1500] B12 → 7  EV=5.12
  [343/1500] B13 → 7  EV=6.22
  [344/1500] B14 → 7  EV=5.86
  [345/1500] B15 → 7  EV=6.99
  [346/1500] B16 → 7  EV=6.76
  [347/1500] B17 → 7  EV=6.42
  [348/1500] B18 → 1  EV=3.30
  [349/1500] B19 → 1  EV=1.20
  [350/1500] B20 → 7  EV=6.44
  [351/1500] B21 → 7  EV=5.88
  [352/1500] B22 → 7  EV=5.62
  [353/1500] B23 → 1  EV=1.15
  [354/1500] B24 → 1  EV=3.55
  [355/1500] B25 → 7  EV=6.94
  [356/1500] B26 → 7  EV=5.84
  [357/1500] B27 → 7  EV=6.55
  [358/1500] B28 → 1  EV=3.93
  [359/1500] B29 → 1  EV=1.55
  [360/1500] B30 → 7  EV=4.95
  [361/1500] B01 → 1  EV=2.83
  [362/1500] B02 → 1  EV=2.41
  [363/1500] B03 → 7  EV=6.12
  [364/1500] B04 → 7  EV=5.49
  [365/1500] B05 → 7  EV=5.14
  [366/1500] B06 → 7  EV=5.63
  [367/1500] B07 → 1  EV=1.10
  [368/1500] B08 → 1  EV=1.02
  [369/1500] B09 → 7  EV=4.13
  [370/1500] B10 → 2  EV=3.01
  [371/1500] B11 → 1  EV=2.01
  [372/1500] B12 → 5  EV=4.51
  [373/1500] B13 → 7  EV=4.81
  [374/1500] B14 → 2  EV=4.42
  [375/1500] B15 → 7  EV=4.46
  [376/1500] B16 → 7  EV=5.46
  [377/1500] B17 → 7  EV=6.92
  [378/1500] B18 → 1  EV=1.76
  [379/1500] B19 → 1  EV=1.25
  [380/1500] B20 → 7  EV=6.60
  [381/1500] B21 → 2  EV=2.66
  [382/1500] B22 → 7  EV=6.93
  [383/1500] B23 → 7  EV=5.56
  [384/1500] B24 → 1  EV=1.54
  [385/1500] B25 → 1  EV=2.05
  [386/1500] B26 → 7  EV=4.82
  [387/1500] B27 → 7  EV=5.08
  [388/1500] B28 → 1  EV=1.02
  [389/1500] B29 → 1  EV=2.28
  [390/1500] B30 → 7  EV=6.65
  [391/1500] B01 → 1  EV=2.08
  [392/1500] B02 → 1  EV=2.29
  [393/1500] B03 → 1  EV=2.13
  [394/1500] B04 → 1  EV=1.43
  [395/1500] B05 → 1  EV=3.07
  [396/1500] B06 → 1  EV=3.63
  [397/1500] B07 → 1  EV=1.19
  [398/1500] B08 → 1  EV=1.52
  [399/1500] B09 → 1  EV=1.11
  [400/1500] B10 → 1  EV=1.63

  Checkpoint: 400/1500 (1.3 prompts/sec)

  [401/1500] B11 → 7  EV=6.98
  [402/1500] B12 → 1  EV=3.09
  [403/1500] B13 → 5  EV=3.48
  [404/1500] B14 → 7  EV=4.10
  [405/1500] B15 → 7  EV=4.00
  [406/1500] B16 → 7  EV=4.36
  [407/1500] B17 → 1  EV=3.32
  [408/1500] B18 → 5  EV=4.10
  [409/1500] B19 → 1  EV=1.41
  [410/1500] B20 → 1  EV=2.09
  [411/1500] B21 → 1  EV=2.04
  [412/1500] B22 → 7  EV=4.82
  [413/1500] B23 → 7  EV=3.99
  [414/1500] B24 → 1  EV=1.43
  [415/1500] B25 → 1  EV=1.43
  [416/1500] B26 → 7  EV=5.29
  [417/1500] B27 → 7  EV=3.94
  [418/1500] B28 → 1  EV=2.14
  [419/1500] B29 → 1  EV=2.32
  [420/1500] B30 → 1  EV=1.14
  [421/1500] B01 → 2  EV=2.14
  [422/1500] B02 → 7  EV=4.80
  [423/1500] B03 → 1  EV=1.10
  [424/1500] B04 → 2  EV=2.56
  [425/1500] B05 → 7  EV=6.36
  [426/1500] B06 → 7  EV=6.21
  [427/1500] B07 → 1  EV=3.42
  [428/1500] B08 → 7  EV=3.81
  [429/1500] B09 → 7  EV=5.69
  [430/1500] B10 → 2  EV=2.68
  [431/1500] B11 → 7  EV=5.47
  [432/1500] B12 → 5  EV=4.55
  [433/1500] B13 → 2  EV=2.52
  [434/1500] B14 → 7  EV=5.13
  [435/1500] B15 → 7  EV=6.76
  [436/1500] B16 → 7  EV=6.82
  [437/1500] B17 → 7  EV=5.37
  [438/1500] B18 → 1  EV=2.79
  [439/1500] B19 → 1  EV=1.40
  [440/1500] B20 → 7  EV=5.10
  [441/1500] B21 → 2  EV=2.64
  [442/1500] B22 → 7  EV=6.89
  [443/1500] B23 → 1  EV=2.68
  [444/1500] B24 → 1  EV=1.39
  [445/1500] B25 → 1  EV=1.32
  [446/1500] B26 → 7  EV=4.98
  [447/1500] B27 → 1  EV=1.46
  [448/1500] B28 → 1  EV=1.06
  [449/1500] B29 → 7  EV=5.43
  [450/1500] B30 → 7  EV=6.08
  [451/1500] B01 → 1  EV=1.31
  [452/1500] B02 → 1  EV=2.94
  [453/1500] B03 → 1  EV=1.01
  [454/1500] B04 → 1  EV=1.16
  [455/1500] B05 → 1  EV=1.85
  [456/1500] B06 → 7  EV=5.90
  [457/1500] B07 → 1  EV=2.63
  [458/1500] B08 → 1  EV=1.01
  [459/1500] B09 → 7  EV=6.06
  [460/1500] B10 → 7  EV=5.81
  [461/1500] B11 → 7  EV=7.00
  [462/1500] B12 → 7  EV=6.23
  [463/1500] B13 → 7  EV=4.61
  [464/1500] B14 → 7  EV=4.49
  [465/1500] B15 → 7  EV=5.81
  [466/1500] B16 → 7  EV=6.19
  [467/1500] B17 → 7  EV=4.44
  [468/1500] B18 → 1  EV=2.60
  [469/1500] B19 → 1  EV=1.27
  [470/1500] B20 → 1  EV=2.45
  [471/1500] B21 → 1  EV=1.40
  [472/1500] B22 → 7  EV=6.48
  [473/1500] B23 → 1  EV=1.02
  [474/1500] B24 → 1  EV=1.13
  [475/1500] B25 → 1  EV=2.85
  [476/1500] B26 → 7  EV=4.49
  [477/1500] B27 → 7  EV=5.69
  [478/1500] B28 → 7  EV=4.98
  [479/1500] B29 → 1  EV=1.59
  [480/1500] B30 → 1  EV=1.24
  [481/1500] B01 → 1  EV=2.18
  [482/1500] B02 → 1  EV=2.29
  [483/1500] B03 → 1  EV=1.98
  [484/1500] B04 → 1  EV=1.70
  [485/1500] B05 → 7  EV=4.86
  [486/1500] B06 → 1  EV=2.85
  [487/1500] B07 → 1  EV=2.05
  [488/1500] B08 → 1  EV=2.30
  [489/1500] B09 → 7  EV=6.45
  [490/1500] B10 → 7  EV=4.87
  [491/1500] B11 → 1  EV=1.32
  [492/1500] B12 → 1  EV=3.00
  [493/1500] B13 → 7  EV=4.45
  [494/1500] B14 → 2  EV=2.59
  [495/1500] B15 → 1  EV=2.99
  [496/1500] B16 → 1  EV=2.57
  [497/1500] B17 → 7  EV=4.81
  [498/1500] B18 → 1  EV=1.45
  [499/1500] B19 → 1  EV=1.34
  [500/1500] B20 → 1  EV=2.86

  Checkpoint: 500/1500 (1.3 prompts/sec)

  [501/1500] B21 → 1  EV=1.58
  [502/1500] B22 → 7  EV=5.68
  [503/1500] B23 → 7  EV=5.16
  [504/1500] B24 → 1  EV=1.76
  [505/1500] B25 → 1  EV=1.28
  [506/1500] B26 → 1  EV=3.07
  [507/1500] B27 → 2  EV=3.67
  [508/1500] B28 → 1  EV=1.27
  [509/1500] B29 → 1  EV=1.67
  [510/1500] B30 → 1  EV=1.19
  [511/1500] B01 → 1  EV=1.31
  [512/1500] B02 → 1  EV=1.23
  [513/1500] B03 → 1  EV=1.49
  [514/1500] B04 → 1  EV=1.10
  [515/1500] B05 → 1  EV=1.66
  [516/1500] B06 → 1  EV=1.98
  [517/1500] B07 → 1  EV=1.41
  [518/1500] B08 → 1  EV=1.31
  [519/1500] B09 → 1  EV=2.98
  [520/1500] B10 → 1  EV=1.73
  [521/1500] B11 → 7  EV=6.86
  [522/1500] B12 → 1  EV=2.16
  [523/1500] B13 → 1  EV=1.74
  [524/1500] B14 → 1  EV=2.77
  [525/1500] B15 → 1  EV=1.26
  [526/1500] B16 → 1  EV=1.63
  [527/1500] B17 → 1  EV=2.07
  [528/1500] B18 → 1  EV=1.04
  [529/1500] B19 → 1  EV=1.01
  [530/1500] B20 → 1  EV=1.40
  [531/1500] B21 → 1  EV=1.11
  [532/1500] B22 → 1  EV=2.46
  [533/1500] B23 → 1  EV=1.01
  [534/1500] B24 → 1  EV=1.12
  [535/1500] B25 → 1  EV=1.04
  [536/1500] B26 → 1  EV=1.21
  [537/1500] B27 → 1  EV=2.41
  [538/1500] B28 → 1  EV=1.02
  [539/1500] B29 → 1  EV=1.95
  [540/1500] B30 → 1  EV=1.55
  [541/1500] B01 → 1  EV=3.66
  [542/1500] B02 → 7  EV=5.09
  [543/1500] B03 → 7  EV=4.42
  [544/1500] B04 → 1  EV=3.73
  [545/1500] B05 → 7  EV=4.22
  [546/1500] B06 → 7  EV=7.00
  [547/1500] B07 → 1  EV=1.94
  [548/1500] B08 → 1  EV=1.01
  [549/1500] B09 → 7  EV=6.66
  [550/1500] B10 → 7  EV=4.38
  [551/1500] B11 → 7  EV=7.00
  [552/1500] B12 → 1  EV=3.68
  [553/1500] B13 → 7  EV=4.83
  [554/1500] B14 → 7  EV=6.88
  [555/1500] B15 → 7  EV=4.99
  [556/1500] B16 → 7  EV=6.02
  [557/1500] B17 → 7  EV=6.62
  [558/1500] B18 → 7  EV=4.62
  [559/1500] B19 → 1  EV=1.71
  [560/1500] B20 → 1  EV=2.94
  [561/1500] B21 → 1  EV=1.41
  [562/1500] B22 → 7  EV=6.96
  [563/1500] B23 → 7  EV=6.86
  [564/1500] B24 → 1  EV=3.75
  [565/1500] B25 → 7  EV=5.24
  [566/1500] B26 → 7  EV=6.08
  [567/1500] B27 → 7  EV=6.13
  [568/1500] B28 → 1  EV=1.87
  [569/1500] B29 → 1  EV=1.84
  [570/1500] B30 → 1  EV=3.77
  [571/1500] B01 → 2  EV=2.36
  [572/1500] B02 → 7  EV=6.38
  [573/1500] B03 → 1  EV=1.52
  [574/1500] B04 → 1  EV=2.54
  [575/1500] B05 → 7  EV=4.98
  [576/1500] B06 → 7  EV=7.00
  [577/1500] B07 → 1  EV=2.85
  [578/1500] B08 → 7  EV=4.59
  [579/1500] B09 → 7  EV=6.26
  [580/1500] B10 → 2  EV=1.73
  [581/1500] B11 → 7  EV=5.74
  [582/1500] B12 → 7  EV=5.42
  [583/1500] B13 → 7  EV=5.64
  [584/1500] B14 → 7  EV=5.02
  [585/1500] B15 → 7  EV=5.83
  [586/1500] B16 → 7  EV=6.23
  [587/1500] B17 → 7  EV=6.92
  [588/1500] B18 → 1  EV=2.89
  [589/1500] B19 → 1  EV=1.03
  [590/1500] B20 → 7  EV=6.04
  [591/1500] B21 → 7  EV=4.50
  [592/1500] B22 → 7  EV=5.89
  [593/1500] B23 → 7  EV=6.64
  [594/1500] B24 → 1  EV=1.09
  [595/1500] B25 → 7  EV=4.64
  [596/1500] B26 → 7  EV=6.90
  [597/1500] B27 → 7  EV=4.60
  [598/1500] B28 → 1  EV=1.04
  [599/1500] B29 → 1  EV=1.30
  [600/1500] B30 → 1  EV=1.42

  Checkpoint: 600/1500 (1.3 prompts/sec)

  [601/1500] B01 → 2  EV=1.98
  [602/1500] B02 → 1  EV=1.70
  [603/1500] B03 → 1  EV=1.01
  [604/1500] B04 → 1  EV=1.09
  [605/1500] B05 → 1  EV=1.08
  [606/1500] B06 → 1  EV=3.20
  [607/1500] B07 → 1  EV=2.02
  [608/1500] B08 → 1  EV=1.03
  [609/1500] B09 → 1  EV=1.44
  [610/1500] B10 → 2  EV=3.09
  [611/1500] B11 → 1  EV=2.01
  [612/1500] B12 → 3  EV=3.40
  [613/1500] B13 → 2  EV=2.81
  [614/1500] B14 → 2  EV=3.38
  [615/1500] B15 → 1  EV=2.47
  [616/1500] B16 → 1  EV=3.22
  [617/1500] B17 → 7  EV=4.18
  [618/1500] B18 → 1  EV=1.96
  [619/1500] B19 → 1  EV=1.17
  [620/1500] B20 → 7  EV=4.18
  [621/1500] B21 → 1  EV=1.97
  [622/1500] B22 → 7  EV=6.05
  [623/1500] B23 → 1  EV=1.01
  [624/1500] B24 → 1  EV=1.04
  [625/1500] B25 → 1  EV=2.91
  [626/1500] B26 → 1  EV=1.75
  [627/1500] B27 → 1  EV=3.30
  [628/1500] B28 → 1  EV=1.07
  [629/1500] B29 → 1  EV=1.03
  [630/1500] B30 → 1  EV=1.00
  [631/1500] B01 → 1  EV=1.39
  [632/1500] B02 → 5  EV=4.25
  [633/1500] B03 → 7  EV=4.04
  [634/1500] B04 → 1  EV=2.67
  [635/1500] B05 → 7  EV=5.06
  [636/1500] B06 → 7  EV=6.54
  [637/1500] B07 → 1  EV=1.67
  [638/1500] B08 → 7  EV=4.31
  [639/1500] B09 → 7  EV=6.74
  [640/1500] B10 → 4  EV=4.56
  [641/1500] B11 → 7  EV=5.23
  [642/1500] B12 → 5  EV=4.56
  [643/1500] B13 → 5  EV=4.72
  [644/1500] B14 → 7  EV=4.28
  [645/1500] B15 → 7  EV=5.70
  [646/1500] B16 → 7  EV=5.84
  [647/1500] B17 → 7  EV=5.35
  [648/1500] B18 → 1  EV=1.21
  [649/1500] B19 → 1  EV=1.25
  [650/1500] B20 → 7  EV=4.53
  [651/1500] B21 → 7  EV=4.64
  [652/1500] B22 → 7  EV=6.11
  [653/1500] B23 → 7  EV=5.74
  [654/1500] B24 → 1  EV=2.91
  [655/1500] B25 → 1  EV=2.45
  [656/1500] B26 → 7  EV=5.39
  [657/1500] B27 → 5  EV=4.69
  [658/1500] B28 → 1  EV=1.21
  [659/1500] B29 → 1  EV=3.11
  [660/1500] B30 → 1  EV=1.90
  [661/1500] B01 → 1  EV=1.45
  [662/1500] B02 → 1  EV=1.06
  [663/1500] B03 → 1  EV=1.02
  [664/1500] B04 → 1  EV=1.90
  [665/1500] B05 → 7  EV=4.19
  [666/1500] B06 → 1  EV=1.09
  [667/1500] B07 → 1  EV=2.41
  [668/1500] B08 → 1  EV=1.00
  [669/1500] B09 → 1  EV=2.46
  [670/1500] B10 → 1  EV=2.31
  [671/1500] B11 → 7  EV=6.42
  [672/1500] B12 → 5  EV=4.69
  [673/1500] B13 → 5  EV=3.96
  [674/1500] B14 → 7  EV=6.17
  [675/1500] B15 → 1  EV=3.03
  [676/1500] B16 → 7  EV=4.36
  [677/1500] B17 → 1  EV=3.77
  [678/1500] B18 → 5  EV=4.66
  [679/1500] B19 → 1  EV=1.30
  [680/1500] B20 → 1  EV=3.19
  [681/1500] B21 → 1  EV=2.77
  [682/1500] B22 → 1  EV=2.14
  [683/1500] B23 → 7  EV=6.18
  [684/1500] B24 → 1  EV=1.11
  [685/1500] B25 → 1  EV=1.36
  [686/1500] B26 → 5  EV=5.09
  [687/1500] B27 → 1  EV=1.79
  [688/1500] B28 → 1  EV=1.53
  [689/1500] B29 → 1  EV=1.03
  [690/1500] B30 → 1  EV=2.19
  [691/1500] B01 → 1  EV=1.78
  [692/1500] B02 → 1  EV=2.63
  [693/1500] B03 → 1  EV=2.84
  [694/1500] B04 → 2  EV=3.09
  [695/1500] B05 → 1  EV=2.31
  [696/1500] B06 → 1  EV=1.74
  [697/1500] B07 → 1  EV=1.15
  [698/1500] B08 → 1  EV=1.03
  [699/1500] B09 → 1  EV=3.28
  [700/1500] B10 → 1  EV=1.21

  Checkpoint: 700/1500 (1.3 prompts/sec)

  [701/1500] B11 → 7  EV=6.51
  [702/1500] B12 → 5  EV=4.53
  [703/1500] B13 → 5  EV=4.81
  [704/1500] B14 → 2  EV=2.79
  [705/1500] B15 → 2  EV=3.31
  [706/1500] B16 → 5  EV=3.75
  [707/1500] B17 → 5  EV=3.76
  [708/1500] B18 → 1  EV=2.28
  [709/1500] B19 → 1  EV=2.38
  [710/1500] B20 → 1  EV=3.90
  [711/1500] B21 → 5  EV=3.90
  [712/1500] B22 → 5  EV=4.78
  [713/1500] B23 → 1  EV=1.46
  [714/1500] B24 → 1  EV=1.25
  [715/1500] B25 → 1  EV=2.33
  [716/1500] B26 → 5  EV=4.54
  [717/1500] B27 → 5  EV=4.21
  [718/1500] B28 → 1  EV=1.27
  [719/1500] B29 → 1  EV=1.74
  [720/1500] B30 → 1  EV=2.83
  [721/1500] B01 → 1  EV=1.26
  [722/1500] B02 → 1  EV=1.05
  [723/1500] B03 → 1  EV=1.02
  [724/1500] B04 → 1  EV=1.79
  [725/1500] B05 → 1  EV=3.45
  [726/1500] B06 → 7  EV=5.44
  [727/1500] B07 → 1  EV=1.03
  [728/1500] B08 → 1  EV=1.00
  [729/1500] B09 → 1  EV=1.98
  [730/1500] B10 → 1  EV=1.01
  [731/1500] B11 → 7  EV=6.09
  [732/1500] B12 → 1  EV=2.02
  [733/1500] B13 → 5  EV=4.47
  [734/1500] B14 → 1  EV=1.17
  [735/1500] B15 → 7  EV=4.62
  [736/1500] B16 → 1  EV=3.34
  [737/1500] B17 → 7  EV=4.06
  [738/1500] B18 → 1  EV=1.08
  [739/1500] B19 → 1  EV=1.13
  [740/1500] B20 → 7  EV=4.20
  [741/1500] B21 → 1  EV=2.06
  [742/1500] B22 → 7  EV=6.38
  [743/1500] B23 → 7  EV=5.39
  [744/1500] B24 → 1  EV=1.02
  [745/1500] B25 → 1  EV=1.54
  [746/1500] B26 → 7  EV=5.61
  [747/1500] B27 → 1  EV=2.60
  [748/1500] B28 → 1  EV=1.02
  [749/1500] B29 → 2  EV=2.57
  [750/1500] B30 → 7  EV=5.29
  [751/1500] B01 → 1  EV=1.90
  [752/1500] B02 → 1  EV=1.60
  [753/1500] B03 → 1  EV=1.87
  [754/1500] B04 → 1  EV=1.49
  [755/1500] B05 → 7  EV=4.07
  [756/1500] B06 → 1  EV=3.21
  [757/1500] B07 → 1  EV=2.64
  [758/1500] B08 → 1  EV=1.47
  [759/1500] B09 → 1  EV=3.57
  [760/1500] B10 → 1  EV=1.06
  [761/1500] B11 → 1  EV=1.33
  [762/1500] B12 → 1  EV=1.52
  [763/1500] B13 → 1  EV=3.04
  [764/1500] B14 → 7  EV=5.29
  [765/1500] B15 → 7  EV=5.38
  [766/1500] B16 → 7  EV=6.17
  [767/1500] B17 → 1  EV=3.65
  [768/1500] B18 → 1  EV=1.04
  [769/1500] B19 → 1  EV=1.52
  [770/1500] B20 → 7  EV=4.18
  [771/1500] B21 → 1  EV=2.48
  [772/1500] B22 → 7  EV=6.77
  [773/1500] B23 → 1  EV=1.05
  [774/1500] B24 → 1  EV=1.03
  [775/1500] B25 → 1  EV=1.32
  [776/1500] B26 → 1  EV=3.00
  [777/1500] B27 → 1  EV=3.71
  [778/1500] B28 → 1  EV=1.36
  [779/1500] B29 → 1  EV=1.59
  [780/1500] B30 → 1  EV=1.07
  [781/1500] B01 → 1  EV=2.78
  [782/1500] B02 → 7  EV=6.97
  [783/1500] B03 → 1  EV=2.43
  [784/1500] B04 → 7  EV=5.33
  [785/1500] B05 → 7  EV=6.49
  [786/1500] B06 → 7  EV=6.02
  [787/1500] B07 → 7  EV=4.93
  [788/1500] B08 → 1  EV=3.91
  [789/1500] B09 → 7  EV=4.40
  [790/1500] B10 → 7  EV=5.65
  [791/1500] B11 → 7  EV=4.53
  [792/1500] B12 → 7  EV=6.82
  [793/1500] B13 → 5  EV=5.41
  [794/1500] B14 → 7  EV=4.30
  [795/1500] B15 → 7  EV=4.47
  [796/1500] B16 → 7  EV=4.41
  [797/1500] B17 → 7  EV=5.93
  [798/1500] B18 → 7  EV=5.44
  [799/1500] B19 → 1  EV=1.56
  [800/1500] B20 → 1  EV=3.50

  Checkpoint: 800/1500 (1.3 prompts/sec)

  [801/1500] B21 → 7  EV=4.64
  [802/1500] B22 → 7  EV=6.97
  [803/1500] B23 → 1  EV=2.12
  [804/1500] B24 → 1  EV=2.28
  [805/1500] B25 → 1  EV=2.41
  [806/1500] B26 → 7  EV=5.54
  [807/1500] B27 → 7  EV=5.39
  [808/1500] B28 → 1  EV=1.31
  [809/1500] B29 → 1  EV=3.06
  [810/1500] B30 → 7  EV=5.11
  [811/1500] B01 → 1  EV=1.05
  [812/1500] B02 → 1  EV=1.06
  [813/1500] B03 → 1  EV=3.03
  [814/1500] B04 → 1  EV=1.81
  [815/1500] B05 → 1  EV=2.37
  [816/1500] B06 → 1  EV=1.63
  [817/1500] B07 → 1  EV=1.21
  [818/1500] B08 → 1  EV=2.56
  [819/1500] B09 → 1  EV=1.08
  [820/1500] B10 → 1  EV=1.95
  [821/1500] B11 → 1  EV=1.02
  [822/1500] B12 → 1  EV=2.46
  [823/1500] B13 → 1  EV=1.79
  [824/1500] B14 → 1  EV=1.64
  [825/1500] B15 → 1  EV=3.82
  [826/1500] B16 → 7  EV=5.45
  [827/1500] B17 → 7  EV=5.26
  [828/1500] B18 → 1  EV=1.05
  [829/1500] B19 → 1  EV=1.02
  [830/1500] B20 → 7  EV=4.19
  [831/1500] B21 → 1  EV=1.82
  [832/1500] B22 → 1  EV=3.03
  [833/1500] B23 → 1  EV=2.71
  [834/1500] B24 → 1  EV=1.04
  [835/1500] B25 → 1  EV=1.55
  [836/1500] B26 → 7  EV=4.74
  [837/1500] B27 → 1  EV=1.02
  [838/1500] B28 → 1  EV=1.01
  [839/1500] B29 → 1  EV=1.78
  [840/1500] B30 → 1  EV=3.26
  [841/1500] B01 → 1  EV=1.47
  [842/1500] B02 → 1  EV=3.32
  [843/1500] B03 → 1  EV=1.01
  [844/1500] B04 → 1  EV=1.38
  [845/1500] B05 → 1  EV=3.95
  [846/1500] B06 → 7  EV=6.93
  [847/1500] B07 → 1  EV=1.25
  [848/1500] B08 → 1  EV=1.01
  [849/1500] B09 → 1  EV=2.68
  [850/1500] B10 → 7  EV=4.89
  [851/1500] B11 → 7  EV=6.99
  [852/1500] B12 → 5  EV=4.19
  [853/1500] B13 → 7  EV=5.41
  [854/1500] B14 → 7  EV=4.01
  [855/1500] B15 → 7  EV=5.32
  [856/1500] B16 → 7  EV=6.25
  [857/1500] B17 → 7  EV=4.14
  [858/1500] B18 → 5  EV=3.97
  [859/1500] B19 → 1  EV=1.33
  [860/1500] B20 → 7  EV=5.54
  [861/1500] B21 → 1  EV=2.75
  [862/1500] B22 → 7  EV=6.88
  [863/1500] B23 → 7  EV=5.85
  [864/1500] B24 → 1  EV=1.94
  [865/1500] B25 → 1  EV=2.66
  [866/1500] B26 → 7  EV=4.20
  [867/1500] B27 → 1  EV=1.65
  [868/1500] B28 → 1  EV=1.32
  [869/1500] B29 → 1  EV=1.29
  [870/1500] B30 → 7  EV=4.88
  [871/1500] B01 → 1  EV=1.55
  [872/1500] B02 → 1  EV=3.71
  [873/1500] B03 → 1  EV=1.01
  [874/1500] B04 → 1  EV=3.05
  [875/1500] B05 → 7  EV=4.31
  [876/1500] B06 → 7  EV=5.68
  [877/1500] B07 → 1  EV=2.93
  [878/1500] B08 → 7  EV=4.03
  [879/1500] B09 → 1  EV=1.42
  [880/1500] B10 → 1  EV=1.21
  [881/1500] B11 → 1  EV=1.85
  [882/1500] B12 → 3  EV=3.94
  [883/1500] B13 → 2  EV=3.83
  [884/1500] B14 → 1  EV=2.75
  [885/1500] B15 → 7  EV=5.94
  [886/1500] B16 → 7  EV=5.34
  [887/1500] B17 → 7  EV=5.48
  [888/1500] B18 → 1  EV=2.87
  [889/1500] B19 → 1  EV=1.79
  [890/1500] B20 → 7  EV=4.87
  [891/1500] B21 → 2  EV=2.87
  [892/1500] B22 → 7  EV=4.35
  [893/1500] B23 → 1  EV=1.23
  [894/1500] B24 → 1  EV=1.64
  [895/1500] B25 → 1  EV=2.31
  [896/1500] B26 → 7  EV=4.17
  [897/1500] B27 → 7  EV=5.50
  [898/1500] B28 → 1  EV=1.27
  [899/1500] B29 → 2  EV=2.91
  [900/1500] B30 → 7  EV=4.98

  Checkpoint: 900/1500 (1.3 prompts/sec)

  [901/1500] B01 → 1  EV=2.35
  [902/1500] B02 → 7  EV=4.59
  [903/1500] B03 → 1  EV=1.03
  [904/1500] B04 → 1  EV=2.88
  [905/1500] B05 → 1  EV=2.59
  [906/1500] B06 → 7  EV=6.19
  [907/1500] B07 → 1  EV=2.94
  [908/1500] B08 → 1  EV=1.01
  [909/1500] B09 → 7  EV=6.16
  [910/1500] B10 → 1  EV=1.52
  [911/1500] B11 → 7  EV=5.04
  [912/1500] B12 → 5  EV=4.06
  [913/1500] B13 → 1  EV=3.48
  [914/1500] B14 → 1  EV=4.04
  [915/1500] B15 → 7  EV=5.42
  [916/1500] B16 → 1  EV=2.93
  [917/1500] B17 → 7  EV=4.17
  [918/1500] B18 → 1  EV=2.68
  [919/1500] B19 → 1  EV=1.30
  [920/1500] B20 → 1  EV=3.70
  [921/1500] B21 → 1  EV=2.60
  [922/1500] B22 → 2  EV=3.42
  [923/1500] B23 → 7  EV=4.84
  [924/1500] B24 → 1  EV=2.17
  [925/1500] B25 → 1  EV=2.06
  [926/1500] B26 → 7  EV=4.21
  [927/1500] B27 → 1  EV=1.63
  [928/1500] B28 → 1  EV=2.38
  [929/1500] B29 → 1  EV=1.82
  [930/1500] B30 → 7  EV=3.76
  [931/1500] B01 → 1  EV=1.64
  [932/1500] B02 → 1  EV=1.80
  [933/1500] B03 → 1  EV=1.01
  [934/1500] B04 → 7  EV=5.26
  [935/1500] B05 → 7  EV=5.69
  [936/1500] B06 → 7  EV=6.98
  [937/1500] B07 → 1  EV=2.72
  [938/1500] B08 → 1  EV=2.56
  [939/1500] B09 → 1  EV=2.21
  [940/1500] B10 → 1  EV=2.38
  [941/1500] B11 → 1  EV=1.84
  [942/1500] B12 → 7  EV=4.70
  [943/1500] B13 → 7  EV=6.26
  [944/1500] B14 → 7  EV=6.45
  [945/1500] B15 → 1  EV=3.42
  [946/1500] B16 → 7  EV=4.88
  [947/1500] B17 → 7  EV=4.11
  [948/1500] B18 → 1  EV=2.46
  [949/1500] B19 → 1  EV=1.36
  [950/1500] B20 → 7  EV=4.52
  [951/1500] B21 → 1  EV=2.31
  [952/1500] B22 → 7  EV=6.84
  [953/1500] B23 → 1  EV=1.06
  [954/1500] B24 → 1  EV=1.45
  [955/1500] B25 → 1  EV=1.86
  [956/1500] B26 → 7  EV=6.62
  [957/1500] B27 → 7  EV=5.94
  [958/1500] B28 → 1  EV=2.56
  [959/1500] B29 → 1  EV=3.11
  [960/1500] B30 → 1  EV=2.28
  [961/1500] B01 → 1  EV=3.04
  [962/1500] B02 → 7  EV=4.95
  [963/1500] B03 → 1  EV=3.27
  [964/1500] B04 → 7  EV=6.81
  [965/1500] B05 → 7  EV=5.41
  [966/1500] B06 → 7  EV=7.00
