Model:    phi4-mini:latest
  [6093/12000] B03 → 6  EV=4.50
  [6094/12000] B04 → 6  EV=5.57
  [6095/12000] B05 → 1  EV=2.42
  [6096/12000] B06 → 1  EV=1.49
  [6097/12000] B07 → 1  EV=2.75
  [6098/12000] B08 → 6  EV=4.25
  [6099/12000] B09 → 6  EV=3.85
  [6100/12000] B10 → 6  EV=5.86

  Checkpoint: 6100/12000 (1.0 prompts/sec)

  [6101/12000] B11 → 6  EV=4.22
  [6102/12000] B12 → 6  EV=5.71
  [6103/12000] B13 → 6  EV=5.80
  [6104/12000] B14 → 6  EV=5.50
  [6105/12000] B15 → 6  EV=3.95
  [6106/12000] B16 → 1  EV=3.30
  [6107/12000] B17 → 6  EV=4.58
  [6108/12000] B18 → 6  EV=4.59
  [6109/12000] B19 → 6  EV=4.75
  [6110/12000] B20 → 6  EV=4.09
  [6111/12000] B21 → 6  EV=4.41
  [6112/12000] B22 → 6  EV=5.68
  [6113/12000] B23 → 6  EV=5.38
  [6114/12000] B24 → 6  EV=4.21
  [6115/12000] B25 → 2  EV=3.28
  [6116/12000] B26 → 2  EV=3.03
  [6117/12000] B27 → 4  EV=3.42
  [6118/12000] B28 → 6  EV=4.26
  [6119/12000] B29 → 6  EV=5.38
  [6120/12000] B30 → 6  EV=5.29
  [6121/12000] B01 → 7  EV=4.54
  [6122/12000] B02 → 1  EV=3.00
  [6123/12000] B03 → 6  EV=3.55
  [6124/12000] B04 → 1  EV=3.58
  [6125/12000] B05 → 1  EV=1.77
  [6126/12000] B06 → 1  EV=1.27
  [6127/12000] B07 → 1  EV=2.80
  [6128/12000] B08 → 1  EV=3.65
  [6129/12000] B09 → 1  EV=2.64
  [6130/12000] B10 → 6  EV=4.91
  [6131/12000] B11 → 6  EV=4.18
  [6132/12000] B12 → 1  EV=3.91
  [6133/12000] B13 → 6  EV=5.01
  [6134/12000] B14 → 2  EV=3.68
  [6135/12000] B15 → 3  EV=3.29
  [6136/12000] B16 → 1  EV=3.02
  [6137/12000] B17 → 6  EV=4.72
  [6138/12000] B18 → 1  EV=2.79
  [6139/12000] B19 → 1  EV=2.77
  [6140/12000] B20 → 1  EV=3.50
  [6141/12000] B21 → 1  EV=2.34
  [6142/12000] B22 → 6  EV=3.73
  [6143/12000] B23 → 1  EV=3.29
  [6144/12000] B24 → 1  EV=2.60
  [6145/12000] B25 → 6  EV=4.30
  [6146/12000] B26 → 1  EV=2.79
  [6147/12000] B27 → 1  EV=2.73
  [6148/12000] B28 → 1  EV=3.00
  [6149/12000] B29 → 6  EV=4.12
  [6150/12000] B30 → 1  EV=3.27
  [6151/12000] B01 → 6  EV=4.28
  [6152/12000] B02 → 6  EV=4.04
  [6153/12000] B03 → 6  EV=3.76
  [6154/12000] B04 → 6  EV=5.36
  [6155/12000] B05 → 1  EV=2.34
  [6156/12000] B06 → 1  EV=1.54
  [6157/12000] B07 → 1  EV=2.77
  [6158/12000] B08 → 1  EV=3.65
  [6159/12000] B09 → 1  EV=3.13
  [6160/12000] B10 → 6  EV=5.76
  [6161/12000] B11 → 6  EV=3.93
  [6162/12000] B12 → 6  EV=4.50
  [6163/12000] B13 → 6  EV=5.19
  [6164/12000] B14 → 3  EV=3.23
  [6165/12000] B15 → 3  EV=3.69
  [6166/12000] B16 → 1  EV=3.02
  [6167/12000] B17 → 6  EV=4.90
  [6168/12000] B18 → 3  EV=3.40
  [6169/12000] B19 → 6  EV=4.44
  [6170/12000] B20 → 1  EV=2.48
  [6171/12000] B21 → 6  EV=4.35
  [6172/12000] B22 → 1  EV=2.84
  [6173/12000] B23 → 6  EV=5.09
  [6174/12000] B24 → 3  EV=3.22
  [6175/12000] B25 → 1  EV=2.63
  [6176/12000] B26 → 3  EV=2.88
  [6177/12000] B27 → 3  EV=3.72
  [6178/12000] B28 → 6  EV=3.62
  [6179/12000] B29 → 6  EV=5.44
  [6180/12000] B30 → 6  EV=5.04
  [6181/12000] B01 → 2  EV=2.83
  [6182/12000] B02 → 1  EV=2.82
  [6183/12000] B03 → 1  EV=2.00
  [6184/12000] B04 → 2  EV=2.89
  [6185/12000] B05 → 1  EV=3.05
  [6186/12000] B06 → 1  EV=1.89
  [6187/12000] B07 → 1  EV=2.74
  [6188/12000] B08 → 1  EV=2.05
  [6189/12000] B09 → 1  EV=2.98
  [6190/12000] B10 → 3  EV=2.79
  [6191/12000] B11 → 3  EV=3.10
  [6192/12000] B12 → 1  EV=2.96
  [6193/12000] B13 → 2  EV=2.78
  [6194/12000] B14 → 1  EV=2.70
  [6195/12000] B15 → 3  EV=3.16
  [6196/12000] B16 → 1  EV=2.67
  [6197/12000] B17 → 2  EV=3.62
  [6198/12000] B18 → 1  EV=2.29
  [6199/12000] B19 → 1  EV=2.19
  [6200/12000] B20 → 1  EV=2.49

  Checkpoint: 6200/12000 (1.0 prompts/sec)

  [6201/12000] B21 → 2  EV=2.60
  [6202/12000] B22 → 1  EV=2.36
  [6203/12000] B23 → 1  EV=2.29
  [6204/12000] B24 → 4  EV=3.20
  [6205/12000] B25 → 1  EV=2.99
  [6206/12000] B26 → 1  EV=2.81
  [6207/12000] B27 → 1  EV=3.38
  [6208/12000] B28 → 1  EV=2.61
  [6209/12000] B29 → 1  EV=3.16
  [6210/12000] B30 → 1  EV=2.28
  [6211/12000] B01 → 3  EV=3.99
  [6212/12000] B02 → 1  EV=2.69
  [6213/12000] B03 → 3  EV=2.25
  [6214/12000] B04 → 3  EV=2.68
  [6215/12000] B05 → 3  EV=2.64
  [6216/12000] B06 → 1  EV=3.06
  [6217/12000] B07 → 4  EV=3.57
  [6218/12000] B08 → 3  EV=3.11
  [6219/12000] B09 → 3  EV=3.67
  [6220/12000] B10 → 6  EV=5.33
  [6221/12000] B11 → 3  EV=3.58
  [6222/12000] B12 → 3  EV=3.60
  [6223/12000] B13 → 3  EV=3.01
  [6224/12000] B14 → 3  EV=3.43
  [6225/12000] B15 → 3  EV=3.49
  [6226/12000] B16 → 3  EV=3.55
  [6227/12000] B17 → 3  EV=4.03
  [6228/12000] B18 → 4  EV=3.80
  [6229/12000] B19 → 3  EV=2.98
  [6230/12000] B20 → 3  EV=3.84
  [6231/12000] B21 → 3  EV=3.15
  [6232/12000] B22 → 4  EV=3.74
  [6233/12000] B23 → 1  EV=2.41
  [6234/12000] B24 → 3  EV=3.23
  [6235/12000] B25 → 3  EV=3.08
  [6236/12000] B26 → 3  EV=3.36
  [6237/12000] B27 → 3  EV=3.34
  [6238/12000] B28 → 3  EV=3.22
  [6239/12000] B29 → 3  EV=3.55
  [6240/12000] B30 → 3  EV=3.11
  [6241/12000] B01 → 6  EV=4.03
  [6242/12000] B02 → 6  EV=3.86
  [6243/12000] B03 → 1  EV=2.78
  [6244/12000] B04 → 6  EV=3.97
  [6245/12000] B05 → 1  EV=1.99
  [6246/12000] B06 → 1  EV=1.45
  [6247/12000] B07 → 1  EV=2.28
  [6248/12000] B08 → 1  EV=2.67
  [6249/12000] B09 → 1  EV=2.90
  [6250/12000] B10 → 6  EV=5.13
  [6251/12000] B11 → 1  EV=2.51
  [6252/12000] B12 → 1  EV=3.87
  [6253/12000] B13 → 1  EV=2.64
  [6254/12000] B14 → 1  EV=2.82
  [6255/12000] B15 → 2  EV=2.71
  [6256/12000] B16 → 1  EV=1.90
  [6257/12000] B17 → 6  EV=3.74
  [6258/12000] B18 → 6  EV=4.18
  [6259/12000] B19 → 6  EV=4.61
  [6260/12000] B20 → 1  EV=2.14
  [6261/12000] B21 → 1  EV=3.09
  [6262/12000] B22 → 6  EV=4.61
  [6263/12000] B23 → 6  EV=4.43
  [6264/12000] B24 → 1  EV=2.77
  [6265/12000] B25 → 1  EV=3.14
  [6266/12000] B26 → 1  EV=2.84
  [6267/12000] B27 → 1  EV=2.62
  [6268/12000] B28 → 3  EV=2.88
  [6269/12000] B29 → 6  EV=3.96
  [6270/12000] B30 → 1  EV=3.31
  [6271/12000] B01 → 6  EV=5.78
  [6272/12000] B02 → 6  EV=5.69
  [6273/12000] B03 → 6  EV=4.35
  [6274/12000] B04 → 6  EV=5.18
  [6275/12000] B05 → 1  EV=2.97
  [6276/12000] B06 → 1  EV=1.41
  [6277/12000] B07 → 1  EV=2.27
  [6278/12000] B08 → 6  EV=3.78
  [6279/12000] B09 → 1  EV=3.26
  [6280/12000] B10 → 6  EV=5.78
  [6281/12000] B11 → 1  EV=2.08
  [6282/12000] B12 → 6  EV=5.29
  [6283/12000] B13 → 6  EV=5.12
  [6284/12000] B14 → 6  EV=5.30
  [6285/12000] B15 → 6  EV=3.61
  [6286/12000] B16 → 1  EV=2.80
  [6287/12000] B17 → 6  EV=4.46
  [6288/12000] B18 → 6  EV=4.11
  [6289/12000] B19 → 6  EV=4.36
  [6290/12000] B20 → 6  EV=4.12
  [6291/12000] B21 → 6  EV=4.70
  [6292/12000] B22 → 6  EV=4.65
  [6293/12000] B23 → 6  EV=3.83
  [6294/12000] B24 → 6  EV=3.68
  [6295/12000] B25 → 1  EV=3.07
  [6296/12000] B26 → 2  EV=3.06
  [6297/12000] B27 → 1  EV=3.30
  [6298/12000] B28 → 6  EV=3.77
  [6299/12000] B29 → 6  EV=3.89
  [6300/12000] B30 → 6  EV=4.59

  Checkpoint: 6300/12000 (1.0 prompts/sec)

  [6301/12000] B01 → 1  EV=3.62
  [6302/12000] B02 → 6  EV=5.48
  [6303/12000] B03 → 6  EV=5.26
  [6304/12000] B04 → 6  EV=4.43
  [6305/12000] B05 → 1  EV=2.23
  [6306/12000] B06 → 1  EV=1.70
  [6307/12000] B07 → 1  EV=3.15
  [6308/12000] B08 → 1  EV=3.30
  [6309/12000] B09 → 1  EV=2.71
  [6310/12000] B10 → 6  EV=5.85
  [6311/12000] B11 → 6  EV=3.73
  [6312/12000] B12 → 7  EV=5.55
  [6313/12000] B13 → 6  EV=5.13
  [6314/12000] B14 → 2  EV=4.07
  [6315/12000] B15 → 3  EV=3.07
  [6316/12000] B16 → 1  EV=2.52
  [6317/12000] B17 → 2  EV=3.77
  [6318/12000] B18 → 1  EV=2.37
  [6319/12000] B19 → 1  EV=2.79
  [6320/12000] B20 → 1  EV=1.61
  [6321/12000] B21 → 1  EV=2.58
  [6322/12000] B22 → 1  EV=3.52
  [6323/12000] B23 → 6  EV=5.52
  [6324/12000] B24 → 1  EV=3.10
  [6325/12000] B25 → 2  EV=3.72
  [6326/12000] B26 → 1  EV=2.66
  [6327/12000] B27 → 1  EV=2.56
  [6328/12000] B28 → 3  EV=3.58
  [6329/12000] B29 → 6  EV=4.97
  [6330/12000] B30 → 6  EV=4.63
  [6331/12000] B01 → 1  EV=2.55
  [6332/12000] B02 → 1  EV=2.76
  [6333/12000] B03 → 2  EV=3.29
  [6334/12000] B04 → 1  EV=2.33
  [6335/12000] B05 → 7  EV=4.22
  [6336/12000] B06 → 1  EV=3.32
  [6337/12000] B07 → 4  EV=3.74
  [6338/12000] B08 → 1  EV=2.50
  [6339/12000] B09 → 7  EV=4.20
  [6340/12000] B10 → 1  EV=3.11
  [6341/12000] B11 → 4  EV=3.85
  [6342/12000] B12 → 1  EV=3.00
  [6343/12000] B13 → 4  EV=4.02
  [6344/12000] B14 → 1  EV=2.93
  [6345/12000] B15 → 1  EV=3.42
  [6346/12000] B16 → 3  EV=3.21
  [6347/12000] B17 → 7  EV=4.16
  [6348/12000] B18 → 4  EV=3.73
  [6349/12000] B19 → 1  EV=2.18
  [6350/12000] B20 → 1  EV=2.64
  [6351/12000] B21 → 2  EV=2.78
  [6352/12000] B22 → 1  EV=2.29
  [6353/12000] B23 → 1  EV=2.22
  [6354/12000] B24 → 1  EV=2.60
  [6355/12000] B25 → 7  EV=4.03
  [6356/12000] B26 → 1  EV=3.54
  [6357/12000] B27 → 1  EV=3.56
  [6358/12000] B28 → 3  EV=3.06
  [6359/12000] B29 → 1  EV=3.62
  [6360/12000] B30 → 1  EV=2.91
  [6361/12000] B01 → 7  EV=5.25
  [6362/12000] B02 → 7  EV=5.87
  [6363/12000] B03 → 1  EV=2.75
  [6364/12000] B04 → 7  EV=5.09
  [6365/12000] B05 → 1  EV=2.23
  [6366/12000] B06 → 1  EV=2.07
  [6367/12000] B07 → 4  EV=4.25
  [6368/12000] B08 → 1  EV=3.01
  [6369/12000] B09 → 6  EV=4.17
  [6370/12000] B10 → 1  EV=3.38
  [6371/12000] B11 → 1  EV=3.92
  [6372/12000] B12 → 1  EV=3.71
  [6373/12000] B13 → 6  EV=5.03
  [6374/12000] B14 → 1  EV=2.64
  [6375/12000] B15 → 3  EV=3.58
  [6376/12000] B16 → 4  EV=3.88
  [6377/12000] B17 → 6  EV=4.63
  [6378/12000] B18 → 1  EV=3.01
  [6379/12000] B19 → 1  EV=2.93
  [6380/12000] B20 → 1  EV=2.77
  [6381/12000] B21 → 1  EV=3.34
  [6382/12000] B22 → 6  EV=5.00
  [6383/12000] B23 → 1  EV=3.43
  [6384/12000] B24 → 1  EV=2.94
  [6385/12000] B25 → 1  EV=1.87
  [6386/12000] B26 → 1  EV=3.17
  [6387/12000] B27 → 4  EV=4.14
  [6388/12000] B28 → 1  EV=3.32
  [6389/12000] B29 → 1  EV=2.93
  [6390/12000] B30 → 1  EV=3.15
  [6391/12000] B01 → 6  EV=4.08
  [6392/12000] B02 → 6  EV=4.14
  [6393/12000] B03 → 6  EV=4.14
  [6394/12000] B04 → 6  EV=4.84
  [6395/12000] B05 → 2  EV=3.03
  [6396/12000] B06 → 1  EV=1.65
  [6397/12000] B07 → 1  EV=2.94
  [6398/12000] B08 → 6  EV=4.29
  [6399/12000] B09 → 1  EV=3.12
  [6400/12000] B10 → 6  EV=5.36

  Checkpoint: 6400/12000 (1.0 prompts/sec)

  [6401/12000] B11 → 1  EV=3.12
  [6402/12000] B12 → 6  EV=5.03
  [6403/12000] B13 → 6  EV=5.15
  [6404/12000] B14 → 3  EV=3.43
  [6405/12000] B15 → 3  EV=3.60
  [6406/12000] B16 → 6  EV=3.82
  [6407/12000] B17 → 6  EV=4.22
  [6408/12000] B18 → 6  EV=3.84
  [6409/12000] B19 → 6  EV=3.93
  [6410/12000] B20 → 1  EV=2.43
  [6411/12000] B21 → 3  EV=4.13
  [6412/12000] B22 → 6  EV=5.10
  [6413/12000] B23 → 6  EV=5.03
  [6414/12000] B24 → 3  EV=3.69
  [6415/12000] B25 → 6  EV=3.96
  [6416/12000] B26 → 3  EV=3.31
  [6417/12000] B27 → 6  EV=4.19
  [6418/12000] B28 → 3  EV=3.37
  [6419/12000] B29 → 6  EV=5.15
  [6420/12000] B30 → 6  EV=3.98
  [6421/12000] B01 → 6  EV=4.09
  [6422/12000] B02 → 6  EV=4.28
  [6423/12000] B03 → 3  EV=3.28
  [6424/12000] B04 → 6  EV=4.83
  [6425/12000] B05 → 1  EV=1.90
  [6426/12000] B06 → 1  EV=1.26
  [6427/12000] B07 → 1  EV=1.90
  [6428/12000] B08 → 1  EV=3.51
  [6429/12000] B09 → 1  EV=2.73
  [6430/12000] B10 → 1  EV=3.56
  [6431/12000] B11 → 2  EV=3.32
  [6432/12000] B12 → 1  EV=3.74
  [6433/12000] B13 → 6  EV=4.40
  [6434/12000] B14 → 6  EV=3.62
  [6435/12000] B15 → 3  EV=3.11
  [6436/12000] B16 → 1  EV=2.30
  [6437/12000] B17 → 6  EV=4.27
  [6438/12000] B18 → 6  EV=3.95
  [6439/12000] B19 → 6  EV=3.65
  [6440/12000] B20 → 1  EV=2.14
  [6441/12000] B21 → 6  EV=4.06
  [6442/12000] B22 → 6  EV=5.41
  [6443/12000] B23 → 1  EV=3.23
  [6444/12000] B24 → 1  EV=2.67
  [6445/12000] B25 → 1  EV=2.56
  [6446/12000] B26 → 1  EV=2.19
  [6447/12000] B27 → 1  EV=2.37
  [6448/12000] B28 → 1  EV=2.88
  [6449/12000] B29 → 1  EV=3.11
  [6450/12000] B30 → 6  EV=4.43
  [6451/12000] B01 → 2  EV=3.35
  [6452/12000] B02 → 1  EV=2.08
  [6453/12000] B03 → 1  EV=1.69
  [6454/12000] B04 → 1  EV=1.80
  [6455/12000] B05 → 1  EV=3.21
  [6456/12000] B06 → 1  EV=2.07
  [6457/12000] B07 → 1  EV=2.77
  [6458/12000] B08 → 1  EV=3.03
  [6459/12000] B09 → 1  EV=3.39
  [6460/12000] B10 → 1  EV=2.40
  [6461/12000] B11 → 1  EV=3.49
  [6462/12000] B12 → 1  EV=2.55
  [6463/12000] B13 → 2  EV=3.66
  [6464/12000] B14 → 1  EV=2.27
  [6465/12000] B15 → 3  EV=3.57
  [6466/12000] B16 → 1  EV=2.87
  [6467/12000] B17 → 7  EV=4.12
  [6468/12000] B18 → 1  EV=2.00
  [6469/12000] B19 → 1  EV=1.85
  [6470/12000] B20 → 1  EV=3.27
  [6471/12000] B21 → 2  EV=2.28
  [6472/12000] B22 → 7  EV=3.68
  [6473/12000] B23 → 2  EV=3.81
  [6474/12000] B24 → 1  EV=2.12
  [6475/12000] B25 → 1  EV=2.85
  [6476/12000] B26 → 1  EV=3.10
  [6477/12000] B27 → 1  EV=2.98
  [6478/12000] B28 → 1  EV=3.12
  [6479/12000] B29 → 1  EV=2.68
  [6480/12000] B30 → 1  EV=2.22
  [6481/12000] B01 → 6  EV=5.78
  [6482/12000] B02 → 6  EV=4.42
  [6483/12000] B03 → 6  EV=3.88
  [6484/12000] B04 → 6  EV=4.77
  [6485/12000] B05 → 1  EV=2.52
  [6486/12000] B06 → 1  EV=2.15
  [6487/12000] B07 → 1  EV=2.96
  [6488/12000] B08 → 3  EV=3.56
  [6489/12000] B09 → 3  EV=3.67
  [6490/12000] B10 → 6  EV=4.08
  [6491/12000] B11 → 1  EV=1.90
  [6492/12000] B12 → 6  EV=5.37
  [6493/12000] B13 → 6  EV=5.72
  [6494/12000] B14 → 6  EV=4.27
  [6495/12000] B15 → 3  EV=3.88
  [6496/12000] B16 → 3  EV=3.11
  [6497/12000] B17 → 6  EV=4.10
  [6498/12000] B18 → 6  EV=3.68
  [6499/12000] B19 → 6  EV=4.10
  [6500/12000] B20 → 3  EV=2.81

  Checkpoint: 6500/12000 (1.0 prompts/sec)

  [6501/12000] B21 → 3  EV=3.56
  [6502/12000] B22 → 6  EV=4.71
  [6503/12000] B23 → 6  EV=3.89
  [6504/12000] B24 → 1  EV=3.17
  [6505/12000] B25 → 6  EV=3.97
  [6506/12000] B26 → 6  EV=3.34
  [6507/12000] B27 → 3  EV=3.82
  [6508/12000] B28 → 3  EV=3.52
  [6509/12000] B29 → 6  EV=5.43
  [6510/12000] B30 → 3  EV=4.03
  [6511/12000] B01 → 6  EV=4.20
  [6512/12000] B02 → 1  EV=3.65
  [6513/12000] B03 → 3  EV=3.67
  [6514/12000] B04 → 6  EV=5.10
  [6515/12000] B05 → 1  EV=2.16
  [6516/12000] B06 → 1  EV=1.59
  [6517/12000] B07 → 1  EV=2.75
  [6518/12000] B08 → 1  EV=3.52
  [6519/12000] B09 → 1  EV=3.02
  [6520/12000] B10 → 6  EV=3.77
  [6521/12000] B11 → 1  EV=1.75
  [6522/12000] B12 → 6  EV=5.62
  [6523/12000] B13 → 6  EV=5.13
  [6524/12000] B14 → 1  EV=3.21
  [6525/12000] B15 → 3  EV=3.06
  [6526/12000] B16 → 1  EV=2.95
  [6527/12000] B17 → 6  EV=4.33
  [6528/12000] B18 → 1  EV=3.32
  [6529/12000] B19 → 6  EV=4.20
  [6530/12000] B20 → 1  EV=3.37
  [6531/12000] B21 → 1  EV=3.02
  [6532/12000] B22 → 1  EV=2.69
  [6533/12000] B23 → 6  EV=5.05
  [6534/12000] B24 → 3  EV=2.91
  [6535/12000] B25 → 1  EV=3.13
  [6536/12000] B26 → 2  EV=2.90
  [6537/12000] B27 → 1  EV=2.42
  [6538/12000] B28 → 1  EV=3.10
  [6539/12000] B29 → 6  EV=4.87
  [6540/12000] B30 → 6  EV=4.93
  [6541/12000] B01 → 6  EV=5.82
  [6542/12000] B02 → 6  EV=5.46
  [6543/12000] B03 → 6  EV=5.37
  [6544/12000] B04 → 6  EV=5.29
  [6545/12000] B05 → 1  EV=2.56
  [6546/12000] B06 → 1  EV=1.39
  [6547/12000] B07 → 1  EV=2.99
  [6548/12000] B08 → 6  EV=3.96
  [6549/12000] B09 → 6  EV=4.00
  [6550/12000] B10 → 6  EV=5.38
  [6551/12000] B11 → 6  EV=3.84
  [6552/12000] B12 → 6  EV=5.32
  [6553/12000] B13 → 6  EV=4.79
  [6554/12000] B14 → 6  EV=4.72
  [6555/12000] B15 → 6  EV=3.63
  [6556/12000] B16 → 6  EV=4.11
  [6557/12000] B17 → 6  EV=4.35
  [6558/12000] B18 → 6  EV=4.23
  [6559/12000] B19 → 6  EV=4.65
  [6560/12000] B20 → 1  EV=3.20
  [6561/12000] B21 → 6  EV=4.68
  [6562/12000] B22 → 6  EV=5.49
  [6563/12000] B23 → 6  EV=5.32
  [6564/12000] B24 → 3  EV=3.59
  [6565/12000] B25 → 3  EV=3.05
  [6566/12000] B26 → 2  EV=3.04
  [6567/12000] B27 → 6  EV=3.46
  [6568/12000] B28 → 6  EV=3.89
  [6569/12000] B29 → 6  EV=5.36
  [6570/12000] B30 → 6  EV=5.12
  [6571/12000] B01 → 1  EV=2.48
  [6572/12000] B02 → 1  EV=2.70
  [6573/12000] B03 → 1  EV=1.48
  [6574/12000] B04 → 2  EV=3.01
  [6575/12000] B05 → 1  EV=2.15
  [6576/12000] B06 → 1  EV=2.91
  [6577/12000] B07 → 4  EV=3.21
  [6578/12000] B08 → 1  EV=2.41
  [6579/12000] B09 → 1  EV=3.45
  [6580/12000] B10 → 1  EV=2.87
  [6581/12000] B11 → 1  EV=3.41
  [6582/12000] B12 → 1  EV=2.68
  [6583/12000] B13 → 3  EV=3.67
  [6584/12000] B14 → 1  EV=2.27
  [6585/12000] B15 → 3  EV=3.24
  [6586/12000] B16 → 1  EV=2.37
  [6587/12000] B17 → 6  EV=3.87
  [6588/12000] B18 → 1  EV=2.04
  [6589/12000] B19 → 1  EV=2.18
  [6590/12000] B20 → 1  EV=3.82
  [6591/12000] B21 → 1  EV=2.32
  [6592/12000] B22 → 1  EV=3.34
  [6593/12000] B23 → 4  EV=3.83
  [6594/12000] B24 → 1  EV=3.58
  [6595/12000] B25 → 1  EV=3.31
  [6596/12000] B26 → 1  EV=3.16
  [6597/12000] B27 → 1  EV=2.95
  [6598/12000] B28 → 3  EV=3.19
  [6599/12000] B29 → 1  EV=3.17
  [6600/12000] B30 → 1  EV=1.91

  Checkpoint: 6600/12000 (1.0 prompts/sec)

  [6601/12000] B01 → 1  EV=2.89
  [6602/12000] B02 → 1  EV=2.23
  [6603/12000] B03 → 1  EV=2.12
  [6604/12000] B04 → 1  EV=2.13
  [6605/12000] B05 → 1  EV=2.54
  [6606/12000] B06 → 1  EV=2.71
  [6607/12000] B07 → 4  EV=3.45
  [6608/12000] B08 → 1  EV=2.53
  [6609/12000] B09 → 1  EV=3.58
  [6610/12000] B10 → 1  EV=3.71
  [6611/12000] B11 → 1  EV=3.62
  [6612/12000] B12 → 1  EV=2.74
  [6613/12000] B13 → 2  EV=2.99
  [6614/12000] B14 → 1  EV=2.58
  [6615/12000] B15 → 3  EV=3.18
  [6616/12000] B16 → 3  EV=3.23
  [6617/12000] B17 → 6  EV=4.76
  [6618/12000] B18 → 6  EV=3.74
  [6619/12000] B19 → 1  EV=2.36
  [6620/12000] B20 → 3  EV=3.72
  [6621/12000] B21 → 1  EV=2.76
  [6622/12000] B22 → 1  EV=3.19
  [6623/12000] B23 → 1  EV=2.12
  [6624/12000] B24 → 1  EV=3.75
  [6625/12000] B25 → 1  EV=3.38
  [6626/12000] B26 → 1  EV=3.45
  [6627/12000] B27 → 3  EV=3.40
  [6628/12000] B28 → 3  EV=3.24
  [6629/12000] B29 → 1  EV=3.26
  [6630/12000] B30 → 3  EV=2.65
  [6631/12000] B01 → 6  EV=5.33
  [6632/12000] B02 → 1  EV=3.08
  [6633/12000] B03 → 1  EV=2.64
  [6634/12000] B04 → 6  EV=3.81
  [6635/12000] B05 → 1  EV=2.73
  [6636/12000] B06 → 1  EV=1.55
  [6637/12000] B07 → 1  EV=2.77
  [6638/12000] B08 → 1  EV=2.73
  [6639/12000] B09 → 1  EV=3.35
  [6640/12000] B10 → 6  EV=4.94
  [6641/12000] B11 → 3  EV=3.64
  [6642/12000] B12 → 1  EV=2.94
  [6643/12000] B13 → 6  EV=4.59
  [6644/12000] B14 → 3  EV=3.73
  [6645/12000] B15 → 3  EV=3.71
  [6646/12000] B16 → 3  EV=2.58
  [6647/12000] B17 → 6  EV=4.70
  [6648/12000] B18 → 1  EV=3.06
  [6649/12000] B19 → 1  EV=2.39
  [6650/12000] B20 → 3  EV=2.74
  [6651/12000] B21 → 3  EV=3.92
  [6652/12000] B22 → 1  EV=3.42
  [6653/12000] B23 → 1  EV=1.95
  [6654/12000] B24 → 1  EV=2.76
  [6655/12000] B25 → 1  EV=2.33
  [6656/12000] B26 → 1  EV=3.12
  [6657/12000] B27 → 2  EV=3.45
  [6658/12000] B28 → 3  EV=3.27
  [6659/12000] B29 → 1  EV=2.36
  [6660/12000] B30 → 1  EV=2.51
  [6661/12000] B01 → 3  EV=2.79
  [6662/12000] B02 → 1  EV=2.45
  [6663/12000] B03 → 2  EV=3.10
  [6664/12000] B04 → 1  EV=2.46
  [6665/12000] B05 → 4  EV=4.04
  [6666/12000] B06 → 1  EV=2.41
  [6667/12000] B07 → 4  EV=3.01
  [6668/12000] B08 → 1  EV=2.78
  [6669/12000] B09 → 1  EV=3.50
  [6670/12000] B10 → 1  EV=2.83
  [6671/12000] B11 → 1  EV=3.16
  [6672/12000] B12 → 3  EV=3.20
  [6673/12000] B13 → 4  EV=3.93
  [6674/12000] B14 → 4  EV=4.31
  [6675/12000] B15 → 3  EV=2.98
  [6676/12000] B16 → 3  EV=3.03
  [6677/12000] B17 → 6  EV=4.03
  [6678/12000] B18 → 4  EV=3.72
  [6679/12000] B19 → 1  EV=2.62
  [6680/12000] B20 → 3  EV=3.61
  [6681/12000] B21 → 3  EV=3.66
  [6682/12000] B22 → 1  EV=2.56
  [6683/12000] B23 → 1  EV=2.40
  [6684/12000] B24 → 1  EV=2.71
  [6685/12000] B25 → 3  EV=3.55
  [6686/12000] B26 → 3  EV=3.71
  [6687/12000] B27 → 3  EV=3.90
  [6688/12000] B28 → 3  EV=3.19
  [6689/12000] B29 → 4  EV=3.69
  [6690/12000] B30 → 3  EV=2.96
  [6691/12000] B01 → 3  EV=4.19
  [6692/12000] B02 → 6  EV=3.71
  [6693/12000] B03 → 3  EV=2.47
  [6694/12000] B04 → 3  EV=2.74
  [6695/12000] B05 → 1  EV=2.18
  [6696/12000] B06 → 1  EV=2.73
  [6697/12000] B07 → 4  EV=2.94
  [6698/12000] B08 → 1  EV=2.75
  [6699/12000] B09 → 4  EV=3.32
  [6700/12000] B10 → 6  EV=5.30

  Checkpoint: 6700/12000 (1.0 prompts/sec)

  [6701/12000] B11 → 1  EV=3.46
  [6702/12000] B12 → 6  EV=4.48
  [6703/12000] B13 → 6  EV=5.61
  [6704/12000] B14 → 4  EV=3.16
  [6705/12000] B15 → 3  EV=3.43
  [6706/12000] B16 → 4  EV=3.97
  [6707/12000] B17 → 6  EV=4.09
  [6708/12000] B18 → 6  EV=4.46
  [6709/12000] B19 → 1  EV=2.96
  [6710/12000] B20 → 4  EV=3.86
  [6711/12000] B21 → 3  EV=2.87
  [6712/12000] B22 → 6  EV=5.03
  [6713/12000] B23 → 4  EV=3.17
  [6714/12000] B24 → 1  EV=2.88
  [6715/12000] B25 → 6  EV=4.21
  [6716/12000] B26 → 3  EV=2.82
  [6717/12000] B27 → 4  EV=3.23
  [6718/12000] B28 → 3  EV=3.26
